BearID,year,MatLitID,sex,age,repro,N15,mass,headcirc,cort.kit,dam,Family.ID,cort,C13.suess,condition,fYEAR,fAGE,LitCort,LitCond,LitNit,MatCort,MatCond,Matd15N,CortRat,CondRat,NitRat
W9101,2004,W9101.2004,F,15,WithCubs,4.46,106,64,1,W8906,W9101.2004,3.5218,-23.392,1.65625,2004,15,6.39,0.62,4.15,3.5218,1.66,4.46,0.55114241,2.671370968,1.074698795
W0506,2004,,M,1,WithMother,4.02,27.5,42,1,W9101,W9101.2004,6.942,-23.452,0.654761905,2004,1,6.39,0.62,4.15,,,,1.086384977,1.056067589,0.968674699
W0505,2004,,F,1,WithMother,4.28,23.5,40,1,W9101,W9101.2004,5.8346,-23.642,0.5875,2004,1,6.39,0.62,4.15,,,,0.913082942,0.947580645,1.031325301
W0814,2007,,F,1,WithMother,4.69,15,37.5,1,W9101,W9101.2007,4.6194,-23.146,0.4,2007,1,4.62,0.4,4.69,,,,0.99987013,1,1
W9207,1995,W9207.1995,F,5,WithCubs,3.54,76,56,1,W8808,W9207.1995,4.59,-23.44,1.357142857,1995,5,4.42,0.52,4.61,4.59,1.36,3.54,1.038461538,2.60989011,0.767895879
W9607,1995,,F,1,WithMother,4.54,21,40,1,W9207,W9207.1995,4.3254,-23.56,0.525,1995,1,4.42,0.52,4.61,,,,0.978597285,1.009615385,0.984815618
W9606,1995,,F,1,WithMother,4.67,21,41,1,W9207,W9207.1995,4.5116,-23.66,0.512195122,1995,1,4.42,0.52,4.61,,,,1.020723982,0.984990619,1.013015184
W9208,1996,W9208.1996,F,6,WithCubs,5.37,99,59,1,W8808,W9208.1996,3.6394,-22.858,1.677966102,1996,6,3.23,0.87,5.59,3.6394,1.68,5.37,1.126749226,1.928696669,0.960644007
W9705,1996,,M,1,WithMother,5.52,34,43.5,1,W9208,W9208.1996,2.8456,-22.848,0.781609195,1996,1,3.23,0.87,5.59,,,,0.880990712,0.898401374,0.987477639
W9704,1996,,M,1,WithMother,5.66,43,45,1,W9208,W9208.1996,3.6198,-23.028,0.955555556,1996,1,3.23,0.87,5.59,,,,1.120681115,1.09833972,1.012522361
W9902,1998,,F,1,WithMother,5.94,45,46,1,W9208,W9208.1998,3.2376,-22.874,0.97826087,1998,1,3.24,0.98,5.94,,,,0.999259259,0.998225378,1
W9306,1997,W9306.1997,F,6,WithCubs,3.8,84,58,1,W8906,W9306.1997,3.316,-22.886,1.448275862,1997,6,4.36,0.58,4.45,3.316,1.45,3.8,0.760550459,2.497027348,0.853932584
W9809,1997,,M,1,WithMother,4.38,25,43,1,W9306,W9306.1997,4.0706,-23.166,0.581395349,1997,1,4.36,0.58,4.45,,,,0.933623853,1.002405774,0.984269663
W9808,1997,,F,1,WithMother,4.51,24,42,1,W9306,W9306.1997,4.6488,-23.226,0.571428571,1997,1,4.36,0.58,4.45,,,,1.066238532,0.985221674,1.013483146
W9307,1999,W9307.1999,F,8,WithCubs,4.77,89,59,1,W8906,W9307.1999,4.8742,-22.902,1.508474576,1999,8,3.8,0.79,5.05,4.8742,1.51,4.77,1.282684211,1.909461489,0.944554455
W0017,1999,,M,1,WithMother,5.05,30,38,1,W9307,W9307.1999,3.7962,-23.222,0.789473684,1999,1,3.8,0.79,5.05,,,,0.999,0.999333777,1
W9307,2001,W9307.2001,F,10,WithCubs,4.59,89,59,1,W8906,W9307.2001,6.8538,-23.008,1.508474576,2001,10,5.58,0.48,5.28,6.8538,1.51,4.59,1.22827957,3.142655367,0.869318182
W0211,2001,,M,1,WithMother,5.19,18.5,38,1,W9307,W9307.2001,5.3152,-22.878,0.486842105,2001,1,5.58,0.48,5.28,,,,0.952544803,1.014254385,0.982954545
W0210,2001,,M,1,WithMother,5.24,20,40,1,W9307,W9307.2001,5.9424,-22.968,0.5,2001,1,5.58,0.48,5.28,,,,1.064946237,1.041666667,0.992424242
W0212,2001,,F,1,WithMother,5.4,17,38,1,W9307,W9307.2001,5.4818,-22.868,0.447368421,2001,1,5.58,0.48,5.28,,,,0.982401434,0.932017544,1.022727273
W9307,2003,W9307.2003,F,12,WithCubs,4.48,110,65,2,W8906,W9307.2003,9.66,-23.574,1.692307692,2003,12,12.31,0.6,4.73,9.66,1.69,4.48,0.784727864,2.82051282,0.947145877
W0411,2003,,F,1,WithMother,4.62,23,39,2,W9307,W9307.2003,11.88,NA,0.58974359,2003,1,12.31,0.6,4.73,,,,0.96506905,0.982905983,0.976744186
W0410,2003,,F,1,WithMother,4.64,27,39,2,W9307,W9307.2003,12.18,-23.454,0.692307692,2003,1,12.31,0.6,4.73,,,,0.98943948,1.153846153,0.980972516
W0409,2003,,M,1,WithMother,4.93,21,40,2,W9307,W9307.2003,12.86,-23.504,0.525,2003,1,12.31,0.6,4.73,,,,1.044679123,0.875,1.042283298
W9308,1997,W9308.1997,F,10,WithCubs,4.26,95,63,1,W8811,W9308.1997,4.2372,-22.686,1.507936508,1997,10,4.35,0.54,5.03,4.2372,1.51,4.26,0.974068966,2.792475015,0.846918489
W9812,1997,,F,1,WithMother,4.6,20,42,1,W9308,W9308.1997,5.3642,-22.556,0.476190476,1997,1,4.35,0.54,5.03,,,,1.233149425,0.881834215,0.914512922
W9812,1997,,F,1,WithMother,4.94,20,42,1,W9308,W9308.1997,3.561,-23.106,0.476190476,1997,1,4.35,0.54,5.03,,,,0.81862069,0.881834215,0.982107356
W9813,1997,,M,1,WithMother,5.29,29,44,1,W9308,W9308.1997,4.2274,-22.676,0.659090909,1997,1,4.35,0.54,5.03,,,,0.971816092,1.22053872,1.051689861
W9814,1997,,F,1,WithMother,5.3,23,42,1,W9308,W9308.1997,4.2274,-22.696,0.547619048,1997,1,4.35,0.54,5.03,,,,0.971816092,1.014109348,1.053677932
W9308,2002,W9308.2002,F,15,WithCubs,4.34,101,65,2,W8811,W9308.2002,9.38,-22.736,1.553846154,2002,15,8.43,0.6,5.53,9.38,1.55,4.34,1.112692764,2.58974359,0.784810127
W0318,2002,,F,1,WithMother,5.51,25,41,2,W9308,W9308.2002,6.38,-22.866,0.609756098,2002,1,8.43,0.6,5.53,,,,0.756820878,1.016260163,0.996383363
W0319,2002,,M,1,WithMother,5.54,24,41,2,W9308,W9308.2002,10.47,-22.796,0.585365854,2002,1,8.43,0.6,5.53,,,,1.241992883,0.975609757,1.001808318
W9308,2005,W9308.2005,F,18,WithCubs,4.25,93,66,1,W8811,W9308.2005,5.0114,-22.91,1.409090909,2005,18,5.59,0.52,4.92,5.0114,1.41,4.25,0.896493739,2.70979021,0.863821138
W0614,2005,,M,1,WithMother,4.72,19,40,1,W9308,W9308.2005,6.2364,-23.14,0.475,2005,1,5.59,0.52,4.92,,,,1.115635063,0.913461538,0.959349593
W0613,2005,,M,1,WithMother,4.97,14.5,34,1,W9308,W9308.2005,4.7272,-23.2,0.426470588,2005,1,5.59,0.52,4.92,,,,0.845652952,0.820135746,1.010162602
W0612,2005,,M,1,WithMother,4.97,21.5,40,1,W9308,W9308.2005,4.149,-23.09,0.5375,2005,1,5.59,0.52,4.92,,,,0.742218247,1.033653846,1.010162602
W0615,2005,,M,1,WithMother,5.01,29,44,1,W9308,W9308.2005,7.2458,-23.17,0.659090909,2005,1,5.59,0.52,4.92,,,,1.296207513,1.267482517,1.018292683
W9308,2008,W9308.2008,F,21,WithCubs,4.08,110,70,2,W8811,W9308.2008,13.3,-22.814,1.571428571,2008,21,11.02,0.61,5.12,13.3,1.57,4.08,1.206896552,2.576112411,0.796875
W0906,2008,,M,1,WithMother,5.02,24,42,2,W9308,W9308.2008,11.67,-22.804,0.571428571,2008,1,11.02,0.61,5.12,,,,1.058983666,0.936768149,0.98046875
W0905,2008,,M,1,WithMother,5.21,28,43.5,2,W9308,W9308.2008,10.37,-22.924,0.643678161,2008,1,11.02,0.61,5.12,,,,0.941016334,1.0552101,1.017578125
W9310,1997,W9310.1997,F,6,WithCubs,3.99,90,62,1,W9308,W9310.1997,3.365,-22.546,1.451612903,1997,6,3.65,0.65,5.23,3.365,1.45,3.99,0.921917808,2.23325062,0.76290631
W9803,1997,,F,1,WithMother,5.23,28,43,1,W9310,W9310.1997,3.6492,-22.876,0.651162791,1997,1,3.65,0.65,5.23,,,,0.999780822,1.001788909,1
W9310,1999,W9310.1999,F,8,WithCubs,3.87,100,60,1,W9308,W9310.1999,4.3156,-22.902,1.666666667,1999,8,4.68,0.83,4.71,4.3156,1.67,3.87,0.922136752,2.008032129,0.821656051
W0008,1999,,F,1,WithMother,4.65,32,40,1,W9310,W9310.1999,4.1588,-23.282,0.8,1999,1,4.68,0.83,4.71,,,,0.888632479,0.963855422,0.987261146
W0006,1999,,M,1,WithMother,4.73,32,40,1,W9310,W9310.1999,5.3054,-23.112,0.8,1999,1,4.68,0.83,4.71,,,,1.133632479,0.963855422,1.004246285
W0007,1999,,M,1,WithMother,4.76,38,43,1,W9310,W9310.1999,4.5704,-23.102,0.88372093,1999,1,4.68,0.83,4.71,,,,0.976581197,1.064724012,1.010615711
W9310,2002,W9310.2002,F,11,WithCubs,3.2,88,64,1,W9308,W9310.2002,7.8338,-22.866,1.375,2002,11,6.28,0.64,4.55,7.8338,1.38,3.2,1.247420382,2.1484375,0.703296703
W0312,2002,,M,1,WithMother,4.27,24,31,1,W9310,W9310.2002,6.7264,-22.616,0.774193548,2002,1,6.28,0.64,4.55,,,,1.071082803,1.209677419,0.938461538
W0311,2002,,F,1,WithMother,4.82,20,40,1,W9310,W9310.2002,5.8346,-22.516,0.5,2002,1,6.28,0.64,4.55,,,,0.929076433,0.78125,1.059340659
W9403,1999,W9403.1999,F,7,WithCubs,4.89,102,58,1,W8808,W9403.1999,3.9432,-22.632,1.75862069,1999,7,3.97,0.8,5.22,3.9432,1.76,4.89,0.99324937,2.198275863,0.936781609
W0011,1999,,M,1,WithMother,5.21,32,39,1,W9403,W9403.1999,3.7962,-23.162,0.820512821,1999,1,3.97,0.8,5.22,,,,0.956221662,1.025641026,0.998084291
